#va	size	idbname	ported	port_syms	attempted	att_syms
0x21dd28	0x94	sub_21DD28	-	-	Y	drawTextR
0x21ddc0	0x168	sub_21DDC0	-	-	-	-
0x21df28	0xcc	(ida-missed)	-	-	-	-
0x21dff8	0x354	sub_21DFF8	REF	menutext:-	-	-
0x21e350	0x5c	(ida-missed)	REF	menutext:-	-	-
0x21e3b0	0x8	sub_21E3B0	-	-	-	-
0x21e3b8	0x4b4	sub_21E3B8	-	-	-	-
0x21e870	0x1ac	sub_21E870	-	-	-	-
0x21ea20	0x1e8	(ida-missed)	-	-	-	-
0x21ec08	0x90	(ida-missed)	-	-	-	-
0x21ec98	0x40	(ida-missed)	-	-	-	-
0x21ecd8	0x40	(ida-missed)	-	-	-	-
0x21ed18	0x9c	sub_21ED18	-	-	-	-
0x21edb8	0x94	sub_21EDB8	-	-	-	-
0x21ee50	0x28	(ida-missed)	-	-	-	-
0x21ee78	0x88	(ida-missed)	REF	menutext:-,menutext:-	-	-
0x21ef00	0x180	sub_21EF00	-	-	-	-
0x21f080	0xd0	(ida-missed)	-	-	-	-
0x21f150	0xc	(ida-missed)	-	-	-	-
0x21f160	0x4	(ida-missed)	-	-	-	-
0x21f168	0x240	(ida-missed)	-	-	-	-
0x21f3a8	0x5cc	sub_21F3A8	-	-	-	-
0x21f978	0x8	sub_21F978	-	-	-	-
0x21f980	0x24	sub_21F980	-	-	Y	popupScaled
0x21f9a8	0x70	sub_21F9A8	-	-	-	-
0x21fa18	0x4c	sub_21FA18	-	-	Y	popupClose
0x21fa68	0x64	sub_21FA68	-	-	-	-
0x21fad0	0x4b4	sub_21FAD0	-	-	-	-
0x21ff88	0x18c	sub_21FF88	-	-	-	-
0x220118	0x154	sub_220118	-	-	-	-
0x220270	0x58	(ida-missed)	-	-	-	-
0x2202c8	0x30	sub_2202C8	-	-	-	-
0x2202f8	0x120	(ida-missed)	-	-	-	-
0x220418	0xa0	(ida-missed)	-	-	-	-
0x2204b8	0x188	(ida-missed)	-	-	-	-
0x220640	0x2c	(ida-missed)	-	-	-	-
0x22066c	0x24	(ida-missed)	-	-	-	-
0x220690	0x5c	(ida-missed)	-	-	-	-
0x2206f0	0xa8	(ida-missed)	-	-	-	-
0x220798	0x4	(ida-missed)	-	-	-	-
0x2207a0	0x1b0	sub_2207A0	-	-	-	-
0x220950	0x328	sub_220950	-	-	-	-
0x220c78	0x58	sub_220C78	-	-	-	-
0x220cd0	0x74	sub_220CD0	-	-	-	-
0x220d48	0xb0	sub_220D48	-	-	-	-
0x220df8	0x204	sub_220DF8	-	-	-	-
0x221000	0x60	sub_221000	-	-	-	-
0x221060	0x64	sub_221060	-	-	-	-
0x2210c8	0x8c	sub_2210C8	-	-	-	-
0x221158	0x58	sub_221158	-	-	-	-
0x2211b0	0x80	sub_2211B0	-	-	-	-
0x221230	0x3b0	sub_221230	-	-	-	-
0x2215e0	0x1c4	sub_2215E0	-	-	-	-
0x2217a8	0x30	sub_2217A8	-	-	-	-
0x2217d8	0x124	sub_2217D8	-	-	-	-
0x221900	0x8	sub_221900	-	-	-	-
0x221908	0x8	sub_221908	-	-	Y	getCurPage
0x221910	0xc	(ida-missed)	-	-	-	-
0x221920	0xac	sub_221920	-	-	-	-
0x2219d0	0xc	sub_2219D0	-	-	Y	pageResetScroll
0x2219e0	0x188	sub_2219E0	-	-	-	-
0x221b68	0x8	sub_221B68	-	-	Y	clearCurPage
