# MODULE U INVENTORY MATRIX
# va | size | idb name | osdbits port fn | port-vs-ROM verdict | matching/ state
#
# 'port-vs-ROM verdict' is the EXISTING osdbits function compiled with
# the retail compiler and compared at the annotated ROM address
# (baseline.py).  'matching/ state' is Y where matching/*-functions.txt
# already attempts the address.
0x221bd8	0x60  	sub_221BD8            	-                                       	-                             	Y
0x221c38	0x5c  	sub_221C38            	-                                       	-                             	Y
0x221c98	0x38  	sub_221C98            	-                                       	-                             	Y
0x221cd0	0x70  	sub_221CD0            	-                                       	-                             	-
0x221d40	0x38  	sub_221D40            	-                                       	-                             	Y
0x221d78	0x43c 	sub_221D78            	-                                       	-                             	-
0x2221b8	0x21c 	sub_2221B8            	-                                       	-                             	-
0x2223d8	0x180 	sub_2223D8            	-                                       	-                             	-
0x222558	0x160 	sub_222558            	-                                       	-                             	-
0x2226b8	0xe0  	sub_2226B8            	-                                       	-                             	-
0x222798	0x44  	sub_222798            	-                                       	-                             	Y
0x2227e0	0x64  	sub_2227E0            	-                                       	-                             	-
0x222848	0x68  	sub_222848            	-                                       	-                             	-
0x2228b0	0x40  	sub_2228B0            	-                                       	-                             	Y
0x2228f0	0x30  	sub_2228F0            	-                                       	-                             	Y
0x222920	0x94  	sub_222920            	-                                       	-                             	-
0x2229b8	0xa8  	sub_2229B8            	-                                       	-                             	-
0x222a60	0xe0  	sub_222A60            	-                                       	-                             	-
0x222b40	0xc8  	sub_222B40            	-                                       	-                             	-
0x222c08	0xa8  	sub_222C08            	-                                       	-                             	-
0x222cb0	0x3c4 	sub_222CB0            	-                                       	-                             	-
0x223078	0x54c 	sub_223078            	-                                       	-                             	-
0x2235c8	0x88  	sub_2235C8            	-                                       	-                             	-
0x223650	0x8   	sub_223650            	-                                       	-                             	-
0x223658	0x24  	(ida-missed)          	-                                       	-                             	-
0x223680	0x34  	sub_223680            	-                                       	-                             	-
0x2236b8	0xd4  	sub_2236B8            	-                                       	-                             	-
0x223790	0xc   	sub_223790            	-                                       	-                             	Y
0x2237a0	0xd4  	(ida-missed)          	-                                       	-                             	-
0x223878	0xc0  	(ida-missed)          	-                                       	-                             	-
0x223938	0x150 	(ida-missed)          	-                                       	-                             	-
0x223a88	0x184 	(ida-missed)          	-                                       	-                             	-
0x223c10	0x3c4 	(ida-missed)          	-                                       	-                             	-
0x223fd8	0x144 	(ida-missed)          	-                                       	-                             	-
0x224120	0x9c  	sub_224120            	-                                       	-                             	-
0x2241c0	0xc4  	sub_2241C0            	-                                       	-                             	-
0x224288	0x3a8 	sub_224288            	-                                       	-                             	-
